n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj;source
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34025*001;BASSAN - Rue Du Chemin Neuf;Rue Du Chemin Neuf 34290 BASSAN;34025;3.255369444;43.4105028;2;FR*S34*E34025*001*2;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34199*003;PEZENAS CURÉE - Avenue François Curée (Parking France Télécom);Avenue François Curée (Parking France Télécom) 34120 PEZENAS;34199;3.421472222;43.4563556;2;FR*S34*E34199*003*2;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34219*001;PREMIAN - Grand Rue;Grand Rue 34390 PREMIAN;34219;2.829751968;43.52353868;2;FR*S34*E34219*001*2;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34028*001;BEDARIEUX - PLACE ALBERT THOMAS;PLACE ALBERT THOMAS 34600 BEDARIEUX;34028;3.157346;43.615527;4;FR*S34*E34028*001*1;43;T2;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34161*001;MONTADY - Avenue Des Platanes;Avenue Des Platanes 34310 MONTADY;34161;3.122169444;43.3318722;2;FR*S34*E34161*001*1;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34114*004;GIGNAC GALAXIE - Rue De La Galaxy;Rue De La Galaxy 34150 GIGNAC GALAXIE;34114;3.541723;43.65131;2;FR*S34*E34114*004*1;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34403*001;LUNEL - Quai Voltaire;Quai Voltaire 34400 LUNEL;34403;4.132422222;43.6732861;2;FR*S34*E34403*001*1;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34199*004;PEZENAS 2 - Parking Herault Energies;Parking Herault Energies 34120 PEZENAS;34199;3.409883333;43.4601861;2;FR*S34*E34199*004*1;22;EF - T2;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34224*001;PUISSALICON - Avenue De Beziers;Avenue De Beziers 34480 PUISSALICON;34224;3.233993053;43.45797341;2;FR*S34*E34224*001*1;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
ISTRES;ISTRES;;FR*A06*P13047*J;ISTRES_Gare SNCF;Gare SNCF 13118 ISTRES;13047;4.98044000;43.51537200;;FR*A06*E13047*J*B1*D;22.00;E/F + T2;Payant;24/24 7/7 jours;;2018/09/05;https://www.data.gouv.fr/fr/datasets/e-mouv-istres-bornes-de-recharge-pour-vehicule-electrique/#resource-a1c04b31-d62f-43d4-af7c-ad455cde6c50
